id	speaker_id	face	type	bg_path	flag	text_ko	effect	shader	bgm	text_en	text_ja
						몇 걸음뿐인 복도가<br>끝없이 늘어졌다.				The hallway was only a few steps long,<br>yet it stretched without end.	ほんの数歩の廊下が、<br>どこまでも伸びていった。
							검정ON	Danger	entrance_lock_unease		
				Sprites/bg_entrance		벽을 짚어 가며 겨우 현관에 닿았다.	검정OFF			Bracing myself against the wall, I barely reached the entrance.	壁を伝い、ようやく玄関にたどり着いた。
						손잡이를 돌리려 했지만,				I tried to turn the handle, but—	ドアノブを回そうとしたが、
	yeon	noeye					페이드등장				
						연이가 문 앞을 가로막았다.				Yeon blocked the doorway.	ヨニがドアの前に立ちはだかった。
						왜 연이 씨가 문을 막는 거지?				Why was Yeon blocking the door?	どうしてヨニさんがドアを塞いでいるんだ？
	hero					연이 씨...?				Yeon...?	ヨニさん……？
	yeon	noeye				갈 수 없어요.				You can't leave.	帰れませんよ。
						연이가 한 걸음 다가왔다.				Yeon took a step toward me.	ヨニが一歩、こちらへ近づいた。
	yeon	darkness				푹 <ms=350>쉬세요.	클로즈업			Get some<ms=350>rest.	ゆっくり<ms=350>休んでください。
						바닥이 눈앞으로 솟구쳤다.				The floor surged up before my eyes.	床が目の前へせり上がった。
							검정ON		none		
							즉시퇴장+블러OFF	Default			
									night_house		
				Sprites/bg_black			검정OFF				
			CENTER			...				...	……
			CENTER			......				......	…………
							검정ON				
				none		얼마나 지났을까.	검정OFF			How long had it been?	どれくらい経ったのだろう。
						눈을 떴지만,<br>보이는 건 어둠뿐이었다.				I opened my eyes,<br>but there was nothing to see but darkness.	目を開けても、<br>見えるのは闇だけだった。
						아까의 어지럼증은 사라졌다.				The dizziness from earlier was gone.	さっきまでのめまいは消えていた。
						몸을 일으키려는데…				I tried to sit up.	体を起こそうとした。
						…뭐지? 오른손이 움직이지 않는다.				…What? My right hand will not move.	……何だ？右手が動かない。
						당겨 봐도 꼼짝없다.				Even when I pulled, it did not budge.	引っ張っても、びくともしない。
						무엇에 걸린 거지?<br>어두워서 보이지 않는다.				What was it caught on?<br>It was too dark to see.	何に引っかかっている？<br>暗くて見えない。
						왼손은 움직인다.<br>그나마 다행인가.				My left hand moved.<br>Was that at least something?	左手は動く。<br>それだけでもましか。
						일단, 주변을 <ms=250><color=#D8E88F>밝힐 만한 물건</color>부터 찾아보자.				First, I should look for <ms=250><color=#D8E88F>something to light up the area.</color>	まずは、周囲を<ms=250><color=#D8E88F>照らせそうな物</color>を探そう。
